Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-11,Toyota of Dartmouth,N. Dartmouth,2025,10.0,LE,33419,1430.3340000000026
2025-04-23,Woburn Toyota,Woburn,2024,27066.0,LE,26495,1424.6444444772603
2025-04-16,Riverhead Toyota,Riverhead,2025,1.0,SE,34214,1393.925000000003
2025-04-08,Faith's Toyota,Westminster,2018,66389.0,XSE,21998,1384.8045334317794
2025-04-27,Westboro Toyota,Westborough,2025,15.0,SE,34223,1383.9925999999978
2025-04-12,Woburn Toyota,Woburn,2025,7.0,SE,34231,1376.5253999999986
2025-04-12,United Auto Group,Putnam,2020,117876.0,SE,15995,1374.8370339624198
2025-04-17,Westbrook Toyota,Westbrook,2025,4.0,SE,34238,1369.7252000000008
2025-04-09,Everett Auto Gallery,Everett,2018,48779.0,SE,18995,1367.11053343178
2025-04-12,McGee Toyota of Claremont,Claremont,2025,3.0,LE,33484,1365.800199999998
2025-04-23,Parkway Toyota of Boston,West Roxbury,2023,50634.0,LE,23675,1347.187989485159
2025-04-06,McGee Toyota of Claremont,Claremont,2025,3.0,SE,34279,1328.791799999999
2025-04-16,Nucar Toyota of Norwood,Norwood,2022,54131.0,SE,22988,1322.6106889545226
2025-04-12,Ira Toyota of Danvers,Danvers,2025,5.0,SE,34299,1308.6586000000025
2025-04-17,Toyota of Nashua,Nashua,2025,5.0,XLE,37489,1302.6843000000008
2025-04-10,Copeland Toyota,Brockton,2023,54121.0,LE,23495,1294.9537894851564
2025-04-16,Nucar Toyota of Norwood,Norwood,2022,56107.0,SE,22888,1291.0090889545208
2025-04-05,American Dream Auto,Warwick,2017,141153.0,XLE,13995,1257.0161789703145
2025-04-25,Schaller Honda,New Britain,2022,56456.0,SE,22899,1256.7656889545217
2025-04-12,Woburn Toyota,Woburn,2025,7.0,XSE,38549,1252.0453999999954
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,33599,1250.9334000000017
2025-04-01,White River Toyota,White River Junction,2023,31319.0,XLE,29000,1250.5842894851594
2025-04-09,Grieco Toyota,East Providence,2023,34704.0,XSE,29788,1246.637589485155
2025-04-12,Woburn Toyota,Woburn,2025,7.0,SE,34376,1231.5253999999986
2025-04-18,Woburn Toyota,Woburn,2025,7.0,XSE,38575,1226.0453999999954
2025-04-25,Nucar Toyota of Norwood,Norwood,2024,25695.0,LE,26788,1222.9530444772608
2025-04-16,Nucar Toyota of Norwood,Norwood,2022,55633.0,SE,22988,1222.577488954521
2025-04-15,Woburn Toyota,Woburn,2023,28302.0,LE,25295,1214.4991894851591
2025-04-26,Ira Toyota of Orleans,Orleans,2025,5.0,LE,33639,1210.6670000000013
2025-04-10,Ira Toyota of Hyannis,Hyannis,2025,5.0,LE,33639,1210.6670000000013
2025-04-12,Toyota of Nashua,Nashua,2025,8.0,LE,33639,1210.4671999999991
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,33668,1181.9334000000017
2025-04-02,Balise Toyota Springfield,West Springfield,2023,50882.0,XSE,28776,1181.1827894851558
2025-04-23,Irwin Automotive Group,Laconia,2025,10.0,LE,33693,1156.3340000000026
2025-04-13,Ira Toyota of Orleans,Orleans,2022,56546.0,SE,22995,1154.7716889545227
2025-04-18,Middletown Toyota,Middletown,2022,22223.0,SE,25290,1145.6834889545207
2025-04-24,Ira Toyota of Danvers,Danvers,2025,5.0,LE,33708,1141.6670000000013
2025-04-25,Toyota of Nashua,Nashua,2025,8.0,LE,33708,1141.4671999999991
2025-04-26,Ira Toyota of Danvers,Danvers,2025,5.0,SE,34483,1124.6586000000025
2025-04-27,Ira Toyota of Danvers,Danvers,2025,5.0,LE,33729,1120.6670000000013
2025-04-23,Woburn Toyota,Woburn,2025,7.0,SE,34505,1102.5253999999986
2025-04-09,Acton Toyota of Littleton,Littleton,2017,203521.0,XLE,10000,1098.307378970314
2025-04-28,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,33754,1095.9334000000017
